tweet,date,city,user_location,id,link
"@Ankunda_Barbie These are pictures that were taken the day that building was opened and it all looks nice but thats not all. Whats the importance of a building and equipment if there is no manpower and essential necessities. Take for example disposable gloves, cotton, syringes, sutures",2023-04-24 12:05:24+00:00,Burundi,"Gulu, UGanda",1650470994807496705,https://twitter.com/i/web/status/1650470994807496705
"Refuse to be a victim of problems. 🤗
#MyGreatPrice2023 https://t.co/sQj4F7ruyx",2023-04-24 12:04:37+00:00,Burundi,Kenya & Uganda ,1650470801429102592,https://twitter.com/i/web/status/1650470801429102592
@EddyJr35042571 @SpireJim Bse he thinks a hospital is a building,2023-04-24 12:04:03+00:00,Burundi,"Arua, Uganda",1650470654989201409,https://twitter.com/i/web/status/1650470654989201409
@Vicmwenya Are you still where I left you?.,2023-04-24 12:04:01+00:00,Burundi,"Gulu, Uganda",1650470650157449221,https://twitter.com/i/web/status/1650470650157449221
@grandma_natural I  can Mark it more hot up to 98% in one hours works.,2023-04-24 12:02:23+00:00,Burundi,"Gulu, Uganda",1650470238100631555,https://twitter.com/i/web/status/1650470238100631555
"Home sweet home. 😍 #Leofc
Exactly 1 hour to kick-off
#Leocfc https://t.co/aeIMKNDCNf",2023-04-24 12:02:08+00:00,Burundi,"Arua, Uganda",1650470176326860800,https://twitter.com/i/web/status/1650470176326860800
"With my notebook and pen. I am  reading, writing and listening carefully. https://t.co/4QyVs3KCjd https://t.co/zta4uWvlkV",2023-04-24 12:02:05+00:00,Burundi,"Gulu, Uganda",1650470161042796544,https://twitter.com/i/web/status/1650470161042796544
Sotrix with no doubt https://t.co/ip2fxb7TVh,2023-04-24 11:59:49+00:00,Burundi,"Gulu, Uganda",1650469591376601089,https://twitter.com/i/web/status/1650469591376601089
"Tamale Mirundi once said “I went to some hospital for an operation. As l was in the theatre waiting, the doctor picked my file &amp; said “Oooooh you’re the Tamale Mirundi that doesn’t like Buganda. Once he turned to put on his gloves, l ran away” 😂😂😂 #UgandaHealthExhibition",2023-04-24 11:58:49+00:00,Burundi,InstaGram @iam_wasikeabdu,1650469338594308097,https://twitter.com/i/web/status/1650469338594308097
Hudu Hussien needs to be put in Rice.,2023-04-24 11:58:24+00:00,Burundi,"Gulu, Uganda",1650469235527696392,https://twitter.com/i/web/status/1650469235527696392
I wonder how most government officials were involved in the #KampalaPotholeExhibition but they have now gone silent about the #UgandaHealthExhibition . Is it because they drive through the same potholes but don't go to the same hospitals?,2023-04-24 11:57:54+00:00,Burundi,"Gulu, Uganda ",1650469109270716417,https://twitter.com/i/web/status/1650469109270716417
@ZaharahManyeshi First send Lunch and we talk,2023-04-24 11:57:19+00:00,Burundi,"Gulu, Uganda",1650468962017193985,https://twitter.com/i/web/status/1650468962017193985
@kingFahad_17 You play alot Fahad 😂😂😂,2023-04-24 11:57:12+00:00,Burundi,"Nebbi, Uganda",1650468934615805953,https://twitter.com/i/web/status/1650468934615805953
"@HuduHussein @KagutaMuseveni @GovUganda @MinofHealthUG @SpireJim Eventually you are polishing the narratives , Buildings don't make patients well the tecnocrats and the readily available consumables do @BrianAngapi please confirm the states.",2023-04-24 11:56:00+00:00,Burundi,"Arua, Uganda",1650468631690575874,https://twitter.com/i/web/status/1650468631690575874
"@SabitiJoseph @AnitahAmong Your boss should be in luzira by now!! and you yourself go back to zombo,",2023-04-24 11:54:40+00:00,Burundi,"Gulu, Uganda",1650468297031204871,https://twitter.com/i/web/status/1650468297031204871
"""First wait for another round, Jinja Referral Hospital these days doesn't look Kawa"" https://t.co/EtjU7ekb50",2023-04-24 11:53:55+00:00,Burundi,"Gulu, Uganda",1650468105506750465,https://twitter.com/i/web/status/1650468105506750465
"You're as far as your heart has been tested and tried, by God. 🤍
#MyGreatPrice2023 https://t.co/uPFE1Q1eVC",2023-04-24 11:53:52+00:00,Burundi,Kenya & Uganda ,1650468092382781440,https://twitter.com/i/web/status/1650468092382781440
@faith_nabushawo 😹😹😹 This country is just surviving on vibes and prayers.,2023-04-24 11:53:17+00:00,Burundi,"Arua, Uganda",1650467949319274498,https://twitter.com/i/web/status/1650467949319274498
@Ankunda_Barbie Have you visited the medical and surgical wards of gulu regional hospital they're more smelly than a toilet #Deploymedicalinterns,2023-04-24 11:52:25+00:00,Burundi,"Gulu, Uganda",1650467729923620864,https://twitter.com/i/web/status/1650467729923620864
@HuduHussein @GovUganda The 1% has moved &amp; already bringing results.,2023-04-24 11:51:56+00:00,Burundi,"Gulu, Uganda",1650467605772214275,https://twitter.com/i/web/status/1650467605772214275
"Contend for your destiny, as a woman. 🤍
#MyGreatPrice2023 https://t.co/Gv3BdiAbui",2023-04-24 11:51:54+00:00,Burundi,Kenya & Uganda ,1650467598348288003,https://twitter.com/i/web/status/1650467598348288003
@SeraTheActivist @brucenahabwe1 @NUP_Ug Because they drive through the same potholes but get medication from abroad,2023-04-24 11:51:32+00:00,Burundi,"Gulu, Uganda ",1650467507436756993,https://twitter.com/i/web/status/1650467507436756993
"Much has happened 
Every clan in northern Uganda has suffered from this act. 
#NothernDeathExibition https://t.co/BdjzBaVw8u",2023-04-24 11:51:19+00:00,Burundi,Gulu City,1650467450318667776,https://twitter.com/i/web/status/1650467450318667776
"@faith_nabushawo If they can't have the ICU , where would the ABG machine be?",2023-04-24 11:51:04+00:00,Burundi,"Arua, Uganda",1650467389161480193,https://twitter.com/i/web/status/1650467389161480193
Don't miss Agnes Akite this week at the famous @WithOwakabi comedy show. At @KSPHOTELGULU https://t.co/FPYYGHV47X,2023-04-24 11:50:57+00:00,Burundi,"Gulu, Uganda",1650467358866014209,https://twitter.com/i/web/status/1650467358866014209
"@SpireJim Yes the heros that are not talked about enough,using the minimum resources available to produce much ,Sorry about the trauma that you went through",2023-04-24 11:49:44+00:00,Burundi,"Arua, Uganda",1650467053990555649,https://twitter.com/i/web/status/1650467053990555649
"If God be for us, who can be against us. 🤍
#MyGreatPrice2023 https://t.co/vLZ9dTkxw3",2023-04-24 11:49:16+00:00,Burundi,Kenya & Uganda ,1650466935778205698,https://twitter.com/i/web/status/1650466935778205698
"Praise God. 🤍
#MyGreatPrice2023 https://t.co/0KZHvTw1F8",2023-04-24 11:48:00+00:00,Burundi,Kenya & Uganda ,1650466617657049090,https://twitter.com/i/web/status/1650466617657049090
"@DenniseKarwoth @PatRobertLARUBI Thank you Karwoth, people like @RicOkello will remain aliens in their own land. @PatRobertLARUBI you and me took the earlier picture, we used it for advocacy and something little was realized, but we need more than that. That should be the point of further advocacy for more.",2023-04-24 11:47:53+00:00,Burundi,"Abim, Uganda",1650466588577890309,https://twitter.com/i/web/status/1650466588577890309
@MubeziLuwaga Thank you Sir,2023-04-24 11:46:16+00:00,Burundi,"Arua, Uganda",1650466181952724992,https://twitter.com/i/web/status/1650466181952724992
"@AKasingye The problem is you think the Indian Govt built their Health care system like we have built our own to have been able to save your son's situation, sometimes it's okay not have opinion on every Matter sometimes.",2023-04-24 11:45:02+00:00,Burundi,"Arua, Uganda",1650465871729442816,https://twitter.com/i/web/status/1650465871729442816
I'm on my way to Arua but if I don't find such a set up mugenda kumpulirra 🙄 https://t.co/tPadYCApvZ,2023-04-24 11:44:45+00:00,Burundi,"Gulu, Uganda",1650465801437102086,https://twitter.com/i/web/status/1650465801437102086
@baideebadoo slebew,2023-04-24 11:43:32+00:00,Burundi,makima,1650465492371664898,https://twitter.com/i/web/status/1650465492371664898
"Mean while in one of the health centres in Gulu, a nurse asked an expectant mother to bring a full roll of Damp proof course (DPC) to help her in birth Delivery!! 
#UgandaHealthExhibition https://t.co/EDqCv3kJGx",2023-04-24 11:43:14+00:00,Burundi,"Gulu, Uganda",1650465417381412865,https://twitter.com/i/web/status/1650465417381412865
React now or never https://t.co/sD1aEzyYtR,2023-04-24 11:43:02+00:00,Burundi,Gulu City,1650465366085189635,https://twitter.com/i/web/status/1650465366085189635
@kandihoarthur05 Squeezed themselves* i think,2023-04-24 11:41:49+00:00,Burundi,"Gulu, Uganda ",1650465062975426560,https://twitter.com/i/web/status/1650465062975426560
"@Joan_Afc 50 Cent ~ There goes the window shopper, mad at me. I think I know why...",2023-04-24 11:39:36+00:00,Burundi,"Gulu, Uganda",1650464502876450817,https://twitter.com/i/web/status/1650464502876450817
@bkjulius222 It should speak healing! Safety! Health!,2023-04-24 11:38:21+00:00,Burundi,"Gulu, Uganda",1650464188139986946,https://twitter.com/i/web/status/1650464188139986946
@phifymuzic Hello,2023-04-24 11:37:42+00:00,Burundi,"Gulu, Uganda",1650464026365775873,https://twitter.com/i/web/status/1650464026365775873
"Should we also just sit and watch the karamojongs kill our people, the lango and Acholi in Agago Abim Otuke..

This must stop
@SemujjuNganda1 @mkainerugaba @OcanAol @AndrewOulanyah @AnitahAmong @Thomas_Tayebwa @nbstv @DailyMonitor 

#NorthernDeathExhibition https://t.co/NaOsUC3hUF",2023-04-24 11:37:24+00:00,Burundi,"Gulu, Uganda",1650463948708143109,https://twitter.com/i/web/status/1650463948708143109
@OliveOlovely @AdongSarah5 @HopeMulago @SabulaMediaUg Labour Day!,2023-04-24 11:36:39+00:00,Burundi,Gulu City,1650463762917228545,https://twitter.com/i/web/status/1650463762917228545
"@City_Xtra @David_Ornstein With or without,City will win",2023-04-24 11:36:10+00:00,Burundi,"Gulu, Uganda",1650463638266826752,https://twitter.com/i/web/status/1650463638266826752
"@SpireJim To me this has nothing to do with which political side you're, it is to awaken all responsible authorities about the situation in which our Health sector is. #UgandaHealthExhibition",2023-04-24 11:35:04+00:00,Burundi,"Gulu, Uganda ",1650463361535033345,https://twitter.com/i/web/status/1650463361535033345
@infamous_tweep Unemployed lawyer 😂,2023-04-24 11:34:46+00:00,Burundi,"Gulu, Uganda",1650463287279222785,https://twitter.com/i/web/status/1650463287279222785
@Emily_Tindie Water are you eating Emily?.,2023-04-24 11:33:57+00:00,Burundi,"Gulu, Uganda",1650463082164940800,https://twitter.com/i/web/status/1650463082164940800
@SpireJim @MinofHealthUG All they are left is to add more lies,2023-04-24 11:33:38+00:00,Burundi,"Arua, Uganda",1650463004217991169,https://twitter.com/i/web/status/1650463004217991169
"@jackie_oloya we also need your say on 
#NorthernDeathExhibition https://t.co/ZNxsknxzbP https://t.co/WIL9grQ4K5",2023-04-24 11:33:19+00:00,Burundi,"Gulu, Uganda",1650462920608759810,https://twitter.com/i/web/status/1650462920608759810
@ntvuganda So the MP fly while going to parliament?? May be the have a special lane... There is nothing to assess,2023-04-24 11:32:06+00:00,Burundi,"Gulu, Uganda",1650462616358141952,https://twitter.com/i/web/status/1650462616358141952
"@QuexMusicUg #Deploymedicalinterns  with allowances
#timelypayofdoctors",2023-04-24 11:31:38+00:00,Burundi,"Gulu, UGanda",1650462499311869954,https://twitter.com/i/web/status/1650462499311869954
"@DJErycom @MinofHealthUG @SpireJim @DianaAtwine @JaneRuth_Aceng #Deploymedicalinterns with allowances
#UgandaHealthExhibition 
@MinofHealthUG",2023-04-24 11:30:25+00:00,Burundi,"Gulu, UGanda",1650462190959296515,https://twitter.com/i/web/status/1650462190959296515
@BrianAsha5 I have them Brian,2023-04-24 11:30:11+00:00,Burundi,"Arua, Uganda",1650462134906617856,https://twitter.com/i/web/status/1650462134906617856
